ProductID,Product Name,Year,Sales_units,AverageProductMass_kg,Category,Minimum_Lifespan,Maximum_Lifespan,Mean_Lifespan,Std_dev_Lifespan
6,Digital camcorders,2007,,,Audio-visual,,,,
6,Digital camcorders,2008,,,Audio-visual,,,,
6,Digital camcorders,2009,,,Audio-visual,,,,
6,Digital camcorders,2010,,,Audio-visual,,,,
6,Digital camcorders,2011,,,Audio-visual,,,,
6,Digital camcorders,2012,,,Audio-visual,,,,
6,Digital camcorders,2013,,,Audio-visual,,,,
6,Digital camcorders,2014,,,Audio-visual,,,,
6,Digital camcorders,2015,,,Audio-visual,,,,
6,Digital camcorders,2016,,,Audio-visual,,,,
6,Digital camcorders,2017,,,Audio-visual,,,,
6,Digital camcorders,2018,,,Audio-visual,,,,
7, Digital cameras,1989,,,Audio-visual,,,,
7, Digital cameras,1990,,,Audio-visual,,,,
7, Digital cameras,1991,,,Audio-visual,,,,
7, Digital cameras,1992,,,Audio-visual,,,,
7, Digital cameras,1993,,,Audio-visual,,,,
7, Digital cameras,1994,,,Audio-visual,,,,
7, Digital cameras,1995,,,Audio-visual,,,,
7, Digital cameras,1996,,,Audio-visual,,,,
7, Digital cameras,1997,,,Audio-visual,,,,
7, Digital cameras,1998,,,Audio-visual,,,,
7, Digital cameras,1999,,,Audio-visual,,,,
7, Digital cameras,2000,,,Audio-visual,,,,
7, Digital cameras,2001,,,Audio-visual,,,,
7, Digital cameras,2002,,,Audio-visual,,,,
7, Digital cameras,2003,,,Audio-visual,,,,
7, Digital cameras,2004,,,Audio-visual,,,,
7, Digital cameras,2005,,,Audio-visual,,,,
7, Digital cameras,2006,,,Audio-visual,,,,
7, Digital cameras,2007,,,Audio-visual,,,,
7, Digital cameras,2008,,,Audio-visual,,,,
7, Digital cameras,2009,,,Audio-visual,,,,
7, Digital cameras,2010,,,Audio-visual,,,,
7, Digital cameras,2011,,,Audio-visual,,,,
7, Digital cameras,2012,,,Audio-visual,,,,
7, Digital cameras,2013,,,Audio-visual,,,,
7, Digital cameras,2014,,,Audio-visual,,,,
7, Digital cameras,2015,,,Audio-visual,,,,
7, Digital cameras,2016,,,Audio-visual,,,,
7, Digital cameras,2017,,,Audio-visual,,,,
7, Digital cameras,2018,,,Audio-visual,,,,
8,DVD player,1989,,,Video,,,,
8,DVD player,1990,,,Video,,,,
8,DVD player,1991,,,Video,,,,
8,DVD player,1992,,,Video,,,,
8,DVD player,1993,,,Video,,,,
8,DVD player,1994,,,Video,,,,
8,DVD player,1995,,,Video,,,,
8,DVD player,1996,,,Video,,,,
8,DVD player,1997,,,Video,,,,
8,DVD player,1998,,,Video,,,,
8,DVD player,1999,,,Video,,,,
8,DVD player,2000,,,Video,,,,
8,DVD player,2001,,,Video,,,,
8,DVD player,2002,,,Video,,,,
8,DVD player,2003,,,Video,,,,
8,DVD player,2004,,,Video,,,,
8,DVD player,2005,,,Video,,,,
8,DVD player,2006,,,Video,,,,
8,DVD player,2007,,,Video,,,,
8,DVD player,2008,,,Video,,,,
8,DVD player,2009,,,Video,,,,
8,DVD player,2010,,,Video,,,,
8,DVD player,2011,,,Video,,,,
8,DVD player,2012,,,Video,,,,
8,DVD player,2013,,,Video,,,,
8,DVD player,2014,,,Video,,,,
8,DVD player,2015,,,Video,,,,
8,DVD player,2016,,,Video,,,,
8,DVD player,2017,,,Video,,,,
8,DVD player,2018,,,Video,,,,
9,Gaming consoles,1989,,,Video,,,,
9,Gaming consoles,1990,,,Video,,,,
9,Gaming consoles,1991,,,Video,,,,
9,Gaming consoles,1992,,,Video,,,,
9,Gaming consoles,1993,,,Video,,,,
9,Gaming consoles,1994,,,Video,,,,
9,Gaming consoles,1995,,,Video,,,,
9,Gaming consoles,1996,,,Video,,,,
9,Gaming consoles,1997,,,Video,,,,
9,Gaming consoles,1998,,,Video,,,,
9,Gaming consoles,1999,,,Video,,,,
9,Gaming consoles,2000,,,Video,,,,
9,Gaming consoles,2001,,,Video,,,,
9,Gaming consoles,2002,,,Video,,,,
9,Gaming consoles,2003,,,Video,,,,
9,Gaming consoles,2004,,,Video,,,,
9,Gaming consoles,2005,,,Video,,,,
9,Gaming consoles,2006,,,Video,,,,
9,Gaming consoles,2007,,,Video,,,,
9,Gaming consoles,2008,,,Video,,,,
9,Gaming consoles,2009,,,Video,,,,
9,Gaming consoles,2010,,,Video,,,,
9,Gaming consoles,2011,,,Video,,,,
9,Gaming consoles,2012,,,Video,,,,
9,Gaming consoles,2013,,,Video,,,,
9,Gaming consoles,2014,,,Video,,,,
9,Gaming consoles,2015,,,Video,,,,
9,Gaming consoles,2016,,,Video,,,,
9,Gaming consoles,2017,,,Video,,,,
9,Gaming consoles,2018,,,Video,,,,
10,Laptops,1989,,,Computing,,,,
10,Laptops,1990,,,Computing,,,,
10,Laptops,1991,,,Computing,,,,
10,Laptops,1992,,,Computing,,,,
10,Laptops,1993,,,Computing,,,,
10,Laptops,1994,,,Computing,,,,
10,Laptops,1995,,,Computing,,,,
10,Laptops,1996,,,Computing,,,,
10,Laptops,1997,,,Computing,,,,
10,Laptops,1998,,,Computing,,,,
10,Laptops,1999,,,Computing,,,,
10,Laptops,2000,,,Computing,,,,
10,Laptops,2001,,,Computing,,,,
10,Laptops,2002,,,Computing,,,,
10,Laptops,2003,,,Computing,,,,
10,Laptops,2004,,,Computing,,,,
10,Laptops,2005,,,Computing,,,,
10,Laptops,2006,,,Computing,,,,
10,Laptops,2007,,,Computing,,,,
10,Laptops,2008,,,Computing,,,,
10,Laptops,2009,,,Computing,,,,
10,Laptops,2010,,,Computing,,,,
10,Laptops,2011,,,Computing,,,,
10,Laptops,2012,,,Computing,,,,
10,Laptops,2013,,,Computing,,,,
10,Laptops,2014,,,Computing,,,,
10,Laptops,2015,,,Computing,,,,
10,Laptops,2016,,,Computing,,,,
10,Laptops,2017,,,Computing,,,,
10,Laptops,2018,,,Computing,,,,
11,LED Monitor,1989,,,Monitor,,,,
11,LED Monitor,1990,,,Monitor,,,,
11,LED Monitor,1991,,,Monitor,,,,
11,LED Monitor,1992,,,Monitor,,,,
11,LED Monitor,1993,,,Monitor,,,,
11,LED Monitor,1994,,,Monitor,,,,
11,LED Monitor,1995,,,Monitor,,,,
11,LED Monitor,1996,,,Monitor,,,,
11,LED Monitor,1997,,,Monitor,,,,
11,LED Monitor,1998,,,Monitor,,,,
11,LED Monitor,1999,,,Monitor,,,,
11,LED Monitor,2000,,,Monitor,,,,
11,LED Monitor,2001,,,Monitor,,,,
11,LED Monitor,2002,,,Monitor,,,,
11,LED Monitor,2003,,,Monitor,,,,
11,LED Monitor,2004,,,Monitor,,,,
11,LED Monitor,2005,,,Monitor,,,,
11,LED Monitor,2006,,,Monitor,,,,
11,LED Monitor,2007,,,Monitor,,,,
11,LED Monitor,2008,,,Monitor,,,,
11,LED Monitor,2009,,,Monitor,,,,
11,LED Monitor,2010,,,Monitor,,,,
11,LED Monitor,2011,,,Monitor,,,,
11,LED Monitor,2012,,,Monitor,,,,
11,LED Monitor,2013,,,Monitor,,,,
11,LED Monitor,2014,,,Monitor,,,,
11,LED Monitor,2015,,,Monitor,,,,
11,LED Monitor,2016,,,Monitor,,,,
11,LED Monitor,2017,,,Monitor,,,,
11,LED Monitor,2018,,,Monitor,,,,
12,LED TV,1989,,,TV,,,,
12,LED TV,1990,,,TV,,,,
12,LED TV,1991,,,TV,,,,
12,LED TV,1992,,,TV,,,,
12,LED TV,1993,,,TV,,,,
12,LED TV,1994,,,TV,,,,
12,LED TV,1995,,,TV,,,,
12,LED TV,1996,,,TV,,,,
12,LED TV,1997,,,TV,,,,
12,LED TV,1998,,,TV,,,,
12,LED TV,1999,,,TV,,,,
12,LED TV,2000,,,TV,,,,
12,LED TV,2001,,,TV,,,,
12,LED TV,2002,,,TV,,,,
12,LED TV,2003,,,TV,,,,
12,LED TV,2004,,,TV,,,,
12,LED TV,2005,,,TV,,,,
12,LED TV,2006,,,TV,,,,
12,LED TV,2007,,,TV,,,,
12,LED TV,2008,,,TV,,,,
12,LED TV,2009,,,TV,,,,
12,LED TV,2010,,,TV,,,,
12,LED TV,2011,,,TV,,,,
12,LED TV,2012,,,TV,,,,
12,LED TV,2013,,,TV,,,,
12,LED TV,2014,,,TV,,,,
12,LED TV,2015,,,TV,,,,
12,LED TV,2016,,,TV,,,,
12,LED TV,2017,,,TV,,,,
12,LED TV,2018,,,TV,,,,
13,LCD monitor,1989,,,Monitor,,,,
13,LCD monitor,1990,,,Monitor,,,,
13,LCD monitor,1991,,,Monitor,,,,
13,LCD monitor,1992,,,Monitor,,,,
13,LCD monitor,1993,,,Monitor,,,,
13,LCD monitor,1994,,,Monitor,,,,
13,LCD monitor,1995,,,Monitor,,,,
13,LCD monitor,1996,,,Monitor,,,,
13,LCD monitor,1997,,,Monitor,,,,
13,LCD monitor,1998,,,Monitor,,,,
13,LCD monitor,1999,,,Monitor,,,,
13,LCD monitor,2000,,,Monitor,,,,
13,LCD monitor,2001,,,Monitor,,,,
13,LCD monitor,2002,,,Monitor,,,,
13,LCD monitor,2003,,,Monitor,,,,
13,LCD monitor,2004,,,Monitor,,,,
13,LCD monitor,2005,,,Monitor,,,,
13,LCD monitor,2006,,,Monitor,,,,
13,LCD monitor,2007,,,Monitor,,,,
13,LCD monitor,2008,,,Monitor,,,,
13,LCD monitor,2009,,,Monitor,,,,
13,LCD monitor,2010,,,Monitor,,,,
13,LCD monitor,2011,,,Monitor,,,,
13,LCD monitor,2012,,,Monitor,,,,
13,LCD monitor,2013,,,Monitor,,,,
13,LCD monitor,2014,,,Monitor,,,,
13,LCD monitor,2015,,,Monitor,,,,
13,LCD monitor,2016,,,Monitor,,,,
13,LCD monitor,2017,,,Monitor,,,,
13,LCD monitor,2018,,,Monitor,,,,
14,LCD TV,1989,,,TV,,,,
14,LCD TV,1990,,,TV,,,,
14,LCD TV,1991,,,TV,,,,
14,LCD TV,1992,,,TV,,,,
14,LCD TV,1993,,,TV,,,,
14,LCD TV,1994,,,TV,,,,
14,LCD TV,1995,,,TV,,,,
14,LCD TV,1996,,,TV,,,,
14,LCD TV,1997,,,TV,,,,
14,LCD TV,1998,,,TV,,,,
14,LCD TV,1999,,,TV,,,,
14,LCD TV,2000,,,TV,,,,
14,LCD TV,2001,,,TV,,,,
14,LCD TV,2002,,,TV,,,,
